name,class,mag,RA,Dec,spectrograph,Note,RA_gaia,Dec_gaia,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,G,BP,RP
PG_0048+091,sdBV+G,13.52,00 51 26.89,+09 21 32.58,UVES,,12.862203179246,9.35914872023621,0.945,0.043,-8.077,0.097,3.614,0.045,14.201,14.242,14.012
PB_6355,sdB+F,13.00,01 16 27.19,+06 03 15.23,UVES,,19.1137681161729,6.05317879113765,1.145,0.068,-7.293,0.079,-10.661,0.061,12.940,13.070,12.661
J01513-7548,sdB+MS,13.22,01 51 22.87,-75 48 38.13,UVES,,27.8475562469635,-75.8108491085681,1.108,0.025,5.327,0.045,-7.720,0.041,12.959,13.055,12.705
JL277,sdB+MS,13.16,02 01 34.11,-53 43 45.91,UVES,,30.3932569104589,-53.7287525352424,0.984,0.024,13.629,0.035,1.823,0.035,13.031,13.064,12.863
J02286-3625,sdB+MS,13.03,02 28 36.86,-36 25 45.60,UVES,,37.1535599252561,-36.4293229233351,1.038,0.034,-5.037,0.044,7.955,0.054,13.441,13.481,13.237
EC 03143-5945,sdB+MS,13.47,03 15 29.95,-59 34 04.65,UVES,,48.8754043524755,-59.5680314105135,1.075,0.033,15.199,0.083,1.166,0.058,13.329,13.361,13.171
J03322-0233,sdB+MS,13.00,03 32 16.73,-02 33 01.76,UVES,,53.0697729071015,-2.55056748663969,0.917,0.044,8.557,0.069,-11.180,0.066,12.572,12.709,12.306
J03582-3609,sdB+MS,13.73,03 58 14.78,-36 09 38.38,UVES,"Close companion in gaia, 0.75”",59.561793228,-36.1606841754,0.519,0.060,2.180,0.096,-1.781,0.128,13.631,13.684,13.248
HE0430-2457,sdB+MS,14.01,04 33 03.98,-24 51 18.89,UVES,,68.266025126832,-24.8554840286285,1.022,0.057,2.977,0.085,0.838,0.087,14.170,14.025,14.034
J04383-4610,sdOB+K,13.63,04 38 27.32,-46 10 52.69,UVES,,69.6138980165054,-46.1812901879936,1.017,0.040,9.690,0.077,0.581,0.096,13.759,13.589,13.883
J05396-2833,sdOB+G,13.73,05 39 39.13,-28 33 29.66,UVES,,84.9134882563749,-28.5586168400613,0.857,0.035,12.747,0.052,-27.103,0.060,13.819,13.750,13.769
TYC 1935-1015-1,sdB+MS,13.02,08 11 10.81,+27 34 18.42,UVES,,122.795238966476,27.5723687700805,1.413,0.051,-13.756,0.083,1.756,0.054,12.495,12.524,12.321
J09000+0128,sdB+MS,13.07,09 00 01.55,+01 28 51.84,UVES,,135.006459868866,1.48068097957586,1.023,0.051,7.189,0.101,-8.949,0.083,13.091,13.159,12.853
J10170-3355,sdB+MS,13.01,10 17 03.70,-33 55 02.07,UVES,,154.265303626534,-33.917256906518,1.350,0.029,-10.664,0.044,14.141,0.052,12.830,12.920,12.599
EC12300-3224,sdB+F,13.80,12 32 42.48,-32 41 05.91,UVES,,188.176835612642,-32.6845966820902,0.847,0.054,-12.374,0.055,0.953,0.081,13.478,13.589,13.221
PG_1514+034,sdB+MS,13.76,15 17 14.27,+03 10 29.96,UVES,,229.309473509158,3.17441880245588,0.810,0.037,4.529,0.065,-2.400,0.071,13.930,13.899,13.828
BPSCS22890-74,sdB+MS,13.84,15 24 03.03,+01 34 22.170,UVES,,231.012662894668,1.5726617628201,1.129,0.044,2.935,0.082,-7.850,0.073,13.894,13.903,13.761
J16287+1118,sdB+MS,13.10,16 28 42.02,+11 18 38.92,UVES,,247.174939260696,11.3110535222269,1.041,0.041,-2.432,0.042,-8.618,0.031,13.106,13.211,12.819
BPSCS22937-67,sdB+MS,13.97,21 12 17.540,-38 20 54.520,UVES,"No sdB visible, stopped",318.073030643323,-38.348542716423,0.650,0.036,-10.013,0.046,-12.443,0.041,13.812,13.841,13.629
PG 2148+095,sdB+K,12.97,21 51 16.88,+09 46 59.46,UVES/CHIRON,X,327.820347836951,9.78318733244571,0.753,0.051,-2.174,0.078,1.568,0.078,12.968,12.928,12.887
PG 2226+094,sdB+K,13.70,22 28 58.58,+09 37 23.82,UVES,,337.243747172477,9.62289009375678,1.102,0.036,16.486,0.063,-4.401,0.053,13.967,13.999,13.771
PG 1018-047,sdB+K,13.14,10 21 10.58,-04 56 19.57,UVES,"DONE, J.Deca",155.294036931512,-4.93880477762911,1.632,0.092,-13.005,0.143,-8.128,0.134,13.264,13.125,13.376
J08421–0213 ,sdB+X,13.20,08 42 10.35,-02 13 15.96,UVES,Backup,130.54298125881,-2.22132381915702,0.766,0.053,-0.351,0.153,-6.231,0.080,13.003,13.072,12.813
PG_1309-078,sdB+G8,14.11,13 11 44.97,-08 05 21.41,UVES,"Backup, no obs",197.937484869755,-8.08951655740955,1.245,0.044,13.391,0.094,-32.953,0.056,14.041,14.055,13.884
J20222+0152,sdB+MS,13.35,20 22 16.79,+01 52 24.78,UVES,"Backup, no obs",305.569907645454,1.87341780780944,1.385,0.036,9.876,0.057,-3.591,0.040,13.035,13.149,12.743
J22568-3308,sdB+MS,14.06,22 56 48.79,-33 08 25.98,UVES,Backup,344.203490857186,-33.140529085493,0.640,0.036,10.666,0.066,-8.015,0.061,13.773,13.896,13.462
MCT0000-1637             ,sdB+F/G     ,12.62,00:03:24.37,-16:21:06.33,CHIRON,Brad,0.851906207031175,-16.3517748354715,1.043,0.072,17.465,0.124,0.568,0.089,12.602,12.475,12.674
MCT0107-1423             ,sdB+F/G     ,12.31,01:10:12.64,-14:07:56.97,CHIRON,X,17.5529532107178,-14.1328507857576,1.564,0.033,36.360,0.065,-1.938,0.046,12.821,13.117,12.327
EO_Ceti                  ,sdBV+F1     ,12.29,01:23:43.21,-05:05:45.27,CHIRON,X,20.9302162198072,-5.09610523638936,1.098,0.073,4.438,0.130,-9.537,0.074,12.234,12.278,12.072
MCT0146-2651             ,sdO+F/G     ,12.29,01:48:44.03,-26:36:12.80,CHIRON,Brad,27.1839315972934,-26.6037611738009,2.043,0.064,90.000,0.111,-46.923,0.081,12.238,12.180,12.185
PG0232+095               ,sdB+G1V     ,12.58,02:35:11.95,09:45:37.72,CHIRON,X,38.7999757346057,9.76046468141607,1.513,0.040,6.423,0.067,0.945,0.070,12.287,12.555,11.832
GALEXJ03262-0659         ,sdB+MS      ,12.58,03:26:17.40,-06:59:45.50,CHIRON,X,51.5723749866537,-6.99557094218356,1.074,0.037,-0.757,0.061,-7.089,0.073,12.504,12.583,12.297
EC05015-2831             ,sdOB+F      ,12.34,05:03:34.41,-28:27:17.42,CHIRON,X,75.8936340504566,-28.4547017896773,1.723,0.024,7.034,0.041,20.442,0.042,12.286,12.341,12.081
EC05053-2806             ,sdB+F       ,11.70,05:07:20.18,-28:02:25.43,CHIRON,"X, Close companion in gaia, 1.33”",76.8339321826,-28.0401626312,2.556,0.033,6.419,0.044,9.607,0.052,12.314,12.135,11.612
GALEXJ13058-3657         ,sdB+MS      ,12.23,13:05:51.37,-36:57:00.95,CHIRON,X,196.463741204979,-36.949901645111,1.689,0.060,-20.992,0.097,-5.668,0.187,12.121,12.241,11.853
GALEXJ19097-5344         ,sdB+MS      ,11.62,19:09:42.41,-53:44:16.28,CHIRON,X,287.426529944631,-53.7372900807314,1.052,0.057,-2.720,0.081,5.270,0.064,11.642,11.737,11.427
EC20117-4014             ,sdBV+F      ,12.41,20:15:04.78,-40:05:44.23,CHIRON,Brad,303.769831462212,-40.0956425836464,1.704,0.039,-20.680,0.060,-12.875,0.049,12.364,12.406,12.158
GALEXJ20209-2250         ,sdB+G0V     ,11.77,20:20:59.85,-22:50:01.33,CHIRON,X,305.248968335222,-22.8340961483176,2.720,0.088,-8.917,0.143,-6.648,0.108,11.692,11.720,11.499
